year,month,SP-SC,SS-DH,SS-YW,HL-DY,HH-SG,HH-YW,AS-JC,SS-DY,HR-OK
2016,1,624706,833218,191454,405970,131619,206249,133755,299121,453140
2016,2,455694,781275,197243,518474,126422,171127,243596,507225,383150
2016,3,607757,708015,187052,501786,56722,352306,259783,488194,378232
2016,4,631372,845762,227897,487666,38855,340917,322051,687631,572998
2016,5,670283,965382,267141,587321,134969,363596,326293,677371,590369
2016,6,631454,781394,261729,588923,131496,349141,310934,676244,502816
2016,7,707596,958186,266006,569863,101651,363629,335815,566988,433479
2016,8,692281,873669,239430,518856,15048,275817,307239,504230,473246
2016,9,731060,943256,257465,570767,129638,326577,315221,477726,449289
2016,10,814073,872533,274214,547360,72485,244875,311114,573035,592438
2016,11,732653,932585,262628,477283,92236,315958,310373,572303,519515
2016,12,715351,1026177,249072,501441,114581,337611,277696,644489,479587
2017,1,647741,860500,175081,604779,33121,220629,247775,559428,449664
2017,2,570115,796237,165166,396741,,170075,223528,334743,425915
2017,3,773872,880080,219548,559405,116434,354494,344755,541093,529164
2017,4,734729,828666,251444,500609,131462,341631,337173,606120,531638
2017,5,770961,934670,256244,565963,101064,351655,351407,687253,592913
2017,6,736863,913265,242696,573733,1799,326127,340681,515422,571972
2017,7,735447,883247,243008,573505,101841,232309,336033,504958,542292
2017,8,565581,847666,241881,464313,,229987,284048,431849,508239
2017,9,654158,545689,238320,470556,70747,300109,257148,442968,447693
2017,10,688636,956603,241962,551593,,350975,347132,577630,587136
2017,11,716250,973148,243758,545780,24024,346283,334739,585741,568597
2017,12,773940,642638,219485,468141,128871,311876,293149,509523,489516
2018,1,467585,840015,144090,287183,72531,187919,168272,342737,314246
2018,2,543907,777373,178413,384107,,172234,247596,330402,377834
2018,3,653029,813020,212516,489728,88853,324678,277028,421778,414161
2018,4,512314,846841,250262,517132,28737,325565,341104,644463,376467
2018,5,489665,839199,266945,485208,104500,328463,337171,597062,554311
2018,6,592235,831823,244418,489975,22267,333720,301609,595963,517267
2018,7,627895,989649,224680,459678,62467,315161,280125,549030,430268
2018,8,592759,798393,212161,512877,66414,273465,213486,431039,481675
2018,9,605572,895222,208796,546530,6349,258546,167704,458756,463359
2018,10,630071,996183,234072,544376,88973,317221,302254,532808,553390
2018,11,718827,925208,221641,458729,25509,333748,272927,571309,547242
2018,12,679167,870465,209240,391168,109824,304390,234029,559872,574498
2019,1,640740,837494,146374,299561,,147223,199217,260650,430621
2019,2,415969,797673,187804,384663,39655,189833,234106,370551,416875
2019,3,650815,693456,183978,473643,120366,349224,275166,515852,412974
2019,4,674232,841243,206811,342387,113451,337040,318015,626231,501750
2019,5,735561,981880,237110,415236,121585,347192,329166,662943,602120
2019,6,729626,949666,229466,440357,115084,332803,326175,568186,572688
2019,7,739642,848039,219009,344902,92724,330659,257874,567392,431673
2019,8,610087,859028,239461,419947,121425,275709,313670,283459,502749
2019,9,656680,880890,217066,436485,48993,280205,214779,528379,412482
2019,10,687618,857446,225041,436186,99865,290378,173510,577506,482747
2019,11,733898,798560,232825,413203,74636,314645,161880,558492,583532
2019,12,754470,846101,229007,415111,117118,320328,282628,563915,509740
2020,1,542751,724111,193225,305549,38989,172591,226564,366896,475204
2020,2,639816,618225,173369,254515,15278,175806,189619,324381,417726
2020,3,590893,596568,192684,424701,116006,311010,244288,399061,473396
2020,4,665909,888828,230446,470345,123085,332324,334927,591836,450904
2020,5,528638,868678,220562,358151,24690,302033,310559,578985,415289
2020,6,625856,748685,113768,397498,17535,311014,245800,527930,483961
2020,7,573400,782679,125316,362675,74072,288683,279014,420962,484507
2020,8,380873,655177,176641,374819,,198349,218605,170737,464262
2020,9,532607,742242,208017,425464,,312145,216305,594883,431981
2020,10,634953,865056,232634,423477,4232,309682,257234,530340,513193
